customerid,nrofautomatedtestcases,nrofmanualtestcases,nrofmanualtestcasesexecutedperyear,nrofautomatedtestcasesexecutedperyear,nroftotaltestcasesexecutedperyear,costavoidanceperyear,hoursspentontestingperyear,hoursspentonmanualtestingperyear,hoursspentonautomatedtestingperyear,hoursspentonautomatedtestprep,hoursspentonautomatedtestexec,hoursspentonmanualtestprep,hoursspentonmanualtestexec,Totallaborcostperyear
55,60,1134,1123,59,1182,20370180,423,327,96,94,2,1123,43,229504
56,0,2378,2368,0,2368,15067530,690,690,0,0,0,2368,91,238491
57,119,2259,2250,119,2369,18649320,850,656,194,190,4,2250,86,250665
59,0,1194,1182,0,1182,16388190,345,345,0,0,0,1182,45,218844
64,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
66,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
67,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
68,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
69,0,1194,2364,0,2364,15007500,691,691,0,0,0,2364,91,238686
70,0,1194,2364,0,2364,15007500,691,691,0,0,0,2364,91,238686
74,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
75,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
76,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
77,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
38,60,1126,12296,655,12951,12066030,13006,3552,9454,9432,22,12296,471,191720
39,0,1126,12296,0,12296,27413700,3552,3552,0,0,0,12296,471,94159
40,0,1126,12296,0,12296,27413700,3552,3552,0,0,0,12296,471,92946
42,0,1126,12296,0,12296,0,3552,3552,0,0,0,12296,471,132082
60,0,1194,1182,0,1182,16388190,345,345,0,0,0,1182,45,218844
61,60,1134,1123,59,1182,20330160,424,328,96,94,2,1123,43,229504
62,0,2378,2368,0,2368,15027510,692,692,0,0,0,2368,91,238491
63,119,2259,2250,119,2369,18609300,852,658,194,190,4,2250,86,250665
65,0,225,8978,0,8978,2852500,527,527,0,0,0,1496,150,12440
71,0,207,2375,0,2375,14707350,694,694,0,0,0,2375,91,243655
73,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
78,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
79,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
80,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
81,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
82,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
83,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
84,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
88,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
90,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
91,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
97,18,342,2155,113,2268,999000,181,163,18,8,9,359,90,35154
98,18,342,2155,113,2268,994500,182,163,19,8,9,359,90,35154
99,0,2378,2368,0,2368,15027510,692,692,0,0,0,2368,91,238491
100,720,6480,347328,38592,385920,352500,37634,26051,11583,5789,6432,57888,14472,66875
101,900,3600,15840,3960,19800,795000,1818,1189,629,297,330,2640,660,145949
102,0,500,0,0,0,0,0,0,0,0,0,0,0,0
103,0,800,2280,0,2280,1110000,343,343,0,0,0,760,190,11983
104,0,800,1600,0,1600,0,307,307,0,0,0,533,200,0
106,0,500,1700,0,1700,0,198,198,0,0,0,850,28,29993
86,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
87,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
92,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
93,195,110,2772,4914,7686,0,23644,374,23270,22113,983,924,116,1341924
94,195,110,2772,4914,7686,0,6290,328,5962,4914,983,924,116,307757
105,0,500,1700,0,1700,0,241,241,0,0,0,850,71,29993
107,0,800,2720,0,2720,0,385,385,0,0,0,1360,113,47989
108,0,400,0,0,0,0,0,0,0,0,0,0,0,0
109,0,800,0,0,0,0,0,0,0,0,0,0,0,0
112,0,800,2720,0,2720,0,385,385,0,0,0,1360,113,47989
118,0,8100,30780,0,30780,0,8979,8979,0,0,0,25650,3848,56246
119,0,1600,11600,0,11600,0,2611,2611,0,0,0,5800,1450,23192
120,0,1600,11600,0,11600,0,2611,2611,0,0,0,5800,1450,23192
125,0,3000,5100,0,5100,462337,1701,1701,0,0,0,850,850,449894
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,800,2720,0,2720,0,385,385,0,0,0,1360,113,47989
127,0,3000,5100,0,5100,462337,1701,1701,0,0,0,850,850,449894
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,140,560,23800,5950,29750,14077440,2943,2398,545,446,99,7933,397,164813
130,0,700,29750,0,29750,16450560,2993,2993,0,0,0,9917,496,92843
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,140,560,28728,7182,35910,14169600,3552,2891,661,539,120,9576,479,194054
134,140,560,11480,2870,14350,14054400,1420,1155,265,215,48,3827,191,195427
135,140,560,11480,2870,14350,14054400,1420,1155,265,215,48,3827,191,195427
136,140,560,23800,5950,29750,14077440,2945,2398,547,446,99,7933,397,195314
137,0,2100,14385,0,14385,0,2039,2039,0,0,0,7193,240,65597
149,0,7200,262800,0,262800,45450000,72272,72272,0,0,0,262800,6570,188995
150,0,6400,233600,0,233600,51120000,64241,64241,0,0,0,233600,5840,167996
151,0,6400,233600,0,233600,51120000,64241,64241,0,0,0,233600,5840,167996
157,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
113,0,800,2720,0,2720,0,385,385,0,0,0,1360,113,47989
116,80,720,2736,304,3040,776000,262,206,56,5,51,456,114,42967
117,0,800,2720,0,2720,0,385,385,0,0,0,1360,113,47989
121,0,30522,5775,0,5775,462337,29108,29108,0,0,0,19482,9625,602406
122,0,30522,5775,0,5775,848158,29108,29108,0,0,0,19482,9625,602406
123,0,30522,51887,0,51887,462337,17297,17297,0,0,0,8648,8648,449995
132,0,4000,38000,0,38000,832500,2876,2876,0,0,0,6333,1583,63643
138,0,20794,1596979,0,1596979,0,520733,520733,0,0,0,798490,319396,358974
139,0,14853,1140710,0,1140710,0,371955,371955,0,0,0,570355,228142,256412
140,0,5843,84139,0,84139,0,12279,12279,0,0,0,35058,3506,108636
141,0,5843,84139,0,84139,0,12279,12279,0,0,0,35058,3506,108636
142,0,1125,5683500,0,5683500,0,4262631,4262631,0,0,0,5683500,2841750,11697
143,0,1125,58500,0,58500,0,43879,43879,0,0,0,58500,29250,11697
144,0,1125,58500,0,58500,0,43879,43879,0,0,0,58500,29250,11697
145,0,1500,16200,0,16200,0,2847,2847,0,0,0,8100,810,49840
146,0,2100,22680,0,22680,0,3986,3986,0,0,0,11340,1134,69791
147,0,2800,29568,0,29568,0,3959,3959,0,0,0,9856,1478,48583
148,0,2800,29568,0,29568,0,3959,3959,0,0,0,9856,1478,48583
152,0,3000,5100,0,5100,462337,1701,1701,0,0,0,850,850,449894
153,0,3000,5100,0,5100,462337,1701,1701,0,0,0,850,850,449894
154,0,3000,5100,0,5100,462337,1701,1701,0,0,0,850,850,449894
155,0,6400,233600,0,233600,51120000,64241,64241,0,0,0,233600,5840,167996
156,0,6400,233600,0,233600,51120000,64241,64241,0,0,0,233600,5840,167996
163,0,800,32000,0,32000,0,4960,4960,0,0,0,16000,1600,135660
164,0,800,32000,0,32000,0,4960,4960,0,0,0,16000,1600,135660
165,0,540,57240,0,57240,0,23914,23914,0,0,0,76320,7632,73650
166,0,540,57240,0,57240,0,27730,27730,0,0,0,76320,7632,91941
167,0,540,57240,0,57240,0,27730,27730,0,0,0,76320,7632,91941
177,0,9368,351,0,351,142352000,31,31,0,0,0,88,12,5889
181,0,10000,5100,0,5100,462337,1701,1701,0,0,0,850,850,449894
158,0,6558,1541163,0,1541163,19769750,147751,147751,0,0,0,385291,51372,104981
159,0,6558,1541163,0,1541163,19769750,147751,147751,0,0,0,385291,51372,104981
160,0,6558,1541163,0,1541163,19769750,147751,147751,0,0,0,385291,51372,104981
161,0,2810,2773,0,2773,25502750,1736,1736,0,0,0,693,924,50735
162,0,2810,2773,0,2773,25502750,1736,1736,0,0,0,693,924,50735
168,0,9368,585547,0,585547,34104000,56136,56136,0,0,0,146387,19518,35505
169,0,9368,585547,0,585547,34104000,56136,56136,0,0,0,146387,19518,35505
170,0,9368,5855,0,5855,33880000,582,582,0,0,0,1464,195,34643
171,0,6558,19477,0,19477,19678750,1922,1922,0,0,0,4869,649,102971
