customerid,nrofautomatedtestcases,nrofmanualtestcases,nrofmanualtestcasesexecutedperyear,nrofautomatedtestcasesexecutedperyear,nroftotaltestcasesexecutedperyear,costavoidanceperyear,hoursspentontestingperyear,hoursspentonmanualtestingperyear,hoursspentonautomatedtestingperyear,hoursspentonautomatedtestprep,hoursspentonautomatedtestexec,hoursspentonmanualtestprep,hoursspentonmanualtestexec,Totallaborcostperyear
227,0,500,13138,0,13138,13275000,7694,7694,0,0,0,4379,3285,1864434
229,0,500,13138,0,13138,13275000,7694,7694,0,0,0,4379,3285,1864434
231,0,500,13138,0,13138,13275000,7694,7694,0,0,0,4379,3285,1864434
244,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1464434
202,0,9368,4803,0,4803,5600000,2862,2862,0,0,0,1201,1601,391191
228,0,500,13138,0,13138,13275000,7694,7694,0,0,0,4379,3285,1864434
233,0,500,13138,0,13138,13275000,7694,7694,0,0,0,4379,3285,1864434
236,0,500,13138,0,13138,13275000,7742,7742,0,0,0,4379,3285,1864434
245,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1464434
246,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1464434
247,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1464434
257,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1464434
258,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1464434
259,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1464434
260,0,9368,32666,0,32666,0,19171,19171,0,0,0,8167,10889,1464434
261,0,2500,85000,0,85000,0,610943,610943,0,0,0,170000,440583,420000
263,0,500,13350,0,13350,1327500,7880,7880,0,0,0,3338,4450,1864434
264,0,500,13350,0,13350,1327500,7880,7880,0,0,0,3338,4450,1864434
268,0,9368,36893,0,36893,2275000,21919,21919,0,0,0,9223,12298,1400000
205,0,1350,4091,0,4091,196677000,17758,17758,0,0,0,8864,8864,1230000
206,0,1350,4091,0,4091,196677000,17758,17758,0,0,0,8864,8864,1230000
232,0,500,13138,0,13138,13275000,7694,7694,0,0,0,4379,3285,1864434
269,0,9368,36893,0,36893,2275000,21919,21919,0,0,0,9223,12298,1400000
270,0,9368,36893,0,36893,2275000,21919,21919,0,0,0,9223,12298,1400000
271,0,9368,36893,0,36893,2275000,21919,21919,0,0,0,9223,12298,1400000
272,0,9368,36893,0,36893,2275000,21919,21919,0,0,0,9223,12298,1400000
273,0,9368,36893,0,36893,2275000,21919,21919,0,0,0,9223,12298,1400000
274,0,9368,36893,0,36893,2275000,21919,21919,0,0,0,9223,12298,1400000
275,0,9368,36893,0,36893,2275000,21919,21919,0,0,0,9223,12298,1400000
279,0,7668,30198,0,30198,2275000,18014,18014,0,0,0,7550,10066,1400000
281,0,23,184,0,184,0,632,632,0,0,0,184,368,55200
282,0,23,184,0,184,0,632,632,0,0,0,184,368,55200
283,0,23,184,0,184,0,632,632,0,0,0,184,368,0
284,0,23,184,0,184,0,632,632,0,0,0,184,368,55200
218,0,9368,137897,0,137897,2275000,80698,80698,0,0,0,34474,45966,1400000
237,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1464434
238,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1464434
239,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1464434
285,0,23,184,0,184,0,632,632,0,0,0,184,368,55200
286,0,23,184,0,184,0,632,632,0,0,0,184,368,55200
290,0,500,13350,0,13350,1327500,7880,7880,0,0,0,3338,4450,1864434
291,0,500,13350,0,13350,1327500,7880,7880,0,0,0,4450,3338,1864434
292,0,500,13350,0,13350,1327500,7880,7880,0,0,0,4450,3338,1864434
293,0,2500,85000,0,85000,0,610673,610673,0,0,0,170000,440583,420000
294,0,1000,46000,0,46000,0,19267,19267,0,0,0,7667,11500,420000
295,0,2500,85000,0,85000,0,610673,610673,0,0,0,170000,440583,420000
296,0,1000,46000,0,46000,0,19267,19267,0,0,0,7667,11500,420000
297,0,500,13350,0,13350,1327500,7880,7880,0,0,0,4450,3338,1864434
300,0,500,13350,0,13350,1327500,7880,7880,0,0,0,4450,3338,1864434
220,0,500,13138,0,13138,13275000,7706,7706,0,0,0,4379,3285,1864434
230,0,500,13138,0,13138,13275000,7694,7694,0,0,0,4379,3285,1864434
234,0,500,13138,0,13138,13275000,7694,7694,0,0,0,4379,3285,1864434
235,0,500,13138,0,13138,13275000,7694,7694,0,0,0,4379,3285,1864434
240,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1464434
241,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1464434
242,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1464434
243,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1464434
248,0,7494,26132,0,26132,2275000,15642,15642,0,0,0,6533,8711,1464434
249,0,2248,7839,0,7839,2275000,4971,4971,0,0,0,1960,2613,1464434
252,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1464434
253,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1464434
254,0,500,13340,0,13340,1327500,7874,7874,0,0,0,3335,4447,1864434
255,0,500,13340,0,13340,1327500,7874,7874,0,0,0,3335,4447,1864434
256,0,500,13340,0,13340,1327500,7874,7874,0,0,0,3335,4447,1864434
250,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1464434
251,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1464434
262,0,2500,85000,0,85000,0,610943,610943,0,0,0,170000,440583,420000
,,,,,,,,,,,,,,
